id,reference,preprint,n_samples,sample,item,response
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,items_9,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,n,13646
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,outgroup,Upper caste individuals
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_1_1,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_1_10,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_1_11,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_1_12,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_1_13,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_1_14,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_1_15,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_1_16,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_1_18,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_1_19,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_1_2,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_1_3,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_1_4,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_1_5,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_1_6,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_1_7,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_1_8,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_1_9,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_10_1,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_10_10,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_10_11,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_10_12,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_10_13,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_10_14,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_10_15,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_10_16,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_10_18,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_10_19,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_10_2,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_10_3,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_10_4,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_10_5,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_10_6,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_10_7,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_10_8,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_10_9,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_11_1,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_11_10,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_11_11,1
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_11_12,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_11_13,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_11_14,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_11_15,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_11_16,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_11_18,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_11_19,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_11_2,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_11_3,-.110
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_11_4,-.082
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_11_5,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_11_6,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_11_7,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_11_8,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_11_9,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_12_1,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_12_10,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_12_11,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_12_12,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_12_13,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_12_14,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_12_15,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_12_16,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_12_18,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_12_19,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_12_2,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_12_3,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_12_4,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_12_5,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_12_6,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_12_7,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_12_8,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_12_9,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_13_1,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_13_10,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_13_11,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_13_12,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_13_13,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_13_14,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_13_15,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_13_16,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_13_18,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_13_19,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_13_2,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_13_3,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_13_4,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_13_5,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_13_6,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_13_7,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_13_8,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_13_9,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_14_1,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_14_10,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_14_11,.437
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_14_12,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_14_13,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_14_14,1
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_14_15,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_14_16,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_14_18,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_14_19,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_14_2,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_14_3,-.025
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_14_4,-.112
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_14_5,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_14_6,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_14_7,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_14_8,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_14_9,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_15_1,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_15_10,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_15_11,.402
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_15_12,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_15_13,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_15_14,.510
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_15_15,1
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_15_16,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_15_18,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_15_19,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_15_2,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_15_3,-.008
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_15_4,-.131
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_15_5,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_15_6,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_15_7,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_15_8,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_15_9,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_16_1,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_16_10,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_16_11,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_16_12,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_16_13,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_16_14,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_16_15,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_16_16,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_16_18,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_16_19,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_16_2,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_16_3,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_16_4,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_16_5,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_16_6,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_16_7,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_16_8,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_16_9,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_18_1,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_18_10,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_18_11,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_18_12,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_18_13,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_18_14,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_18_15,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_18_16,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_18_18,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_18_19,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_18_2,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_18_3,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_18_4,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_18_5,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_18_6,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_18_7,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_18_8,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_18_9,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_19_1,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_19_10,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_19_11,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_19_12,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_19_13,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_19_14,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_19_15,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_19_16,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_19_18,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_19_19,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_19_2,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_19_3,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_19_4,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_19_5,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_19_6,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_19_7,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_19_8,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_19_9,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_2_1,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_2_10,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_2_11,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_2_12,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_2_13,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_2_14,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_2_15,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_2_16,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_2_18,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_2_19,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_2_2,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_2_3,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_2_4,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_2_5,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_2_6,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_2_7,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_2_8,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_2_9,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_3_1,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_3_10,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_3_11,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_3_12,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_3_13,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_3_14,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_3_15,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_3_16,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_3_18,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_3_19,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_3_2,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_3_3,1
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_3_4,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_3_5,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_3_6,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_3_7,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_3_8,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_3_9,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_4_1,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_4_10,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_4_11,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_4_12,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_4_13,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_4_14,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_4_15,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_4_16,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_4_18,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_4_19,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_4_2,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_4_3,-.055
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_4_4,1
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_4_5,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_4_6,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_4_7,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_4_8,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_4_9,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_5_1,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_5_10,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_5_11,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_5_12,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_5_13,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_5_14,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_5_15,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_5_16,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_5_18,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_5_19,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_5_2,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_5_3,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_5_4,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_5_5,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_5_6,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_5_7,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_5_8,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_5_9,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_6_1,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_6_10,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_6_11,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_6_12,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_6_13,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_6_14,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_6_15,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_6_16,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_6_18,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_6_19,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_6_2,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_6_3,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_6_4,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_6_5,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_6_6,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_6_7,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_6_8,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_6_9,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_7_1,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_7_10,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_7_11,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_7_12,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_7_13,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_7_14,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_7_15,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_7_16,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_7_18,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_7_19,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_7_2,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_7_3,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_7_4,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_7_5,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_7_6,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_7_7,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_7_8,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_7_9,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_8_1,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_8_10,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_8_11,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_8_12,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_8_13,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_8_14,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_8_15,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_8_16,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_8_18,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_8_19,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_8_2,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_8_3,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_8_4,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_8_5,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_8_6,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_8_7,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_8_8,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_8_9,NA
2392,"Sengupta, N. K. (2020). Inter-caste contact in India",NA,3,1,r_9_1,NA
